"Sample Name","Data File","Acquired","Location","Batch","Job Code","Sample ID","User","TWC_Substance01 Rt(min)","TWC_Substance01 AreaAbs","TWC_Substance02 Rt(min)","TWC_Substance02 AreaAbs","TWC_caffeine Rt(min)","TWC_caffeine AreaAbs","TWC_sulfadoxin Rt(min)","TWC_sulfadoxin AreaAbs","TWC_Substance03 Rt(min)","TWC_Substance03 AreaAbs","TWC_Substance04 Rt(min)","TWC_Substance04 AreaAbs","TWC_Substance05 Rt(min)","TWC_Substance05 AreaAbs","T1-EIC(+)[M+H]_caffeine Rt(min)","T1-EIC(+)[M+H]_caffeine AreaAbs","T3-EIC(+)[M+H]_sulfadoxin Rt(min)","T3-EIC(+)[M+H]_sulfadoxin AreaAbs","TWC_Substance06 Rt(min)","TWC_Substance06 AreaAbs","TWC_Substance07 Rt(min)","TWC_Substance07 AreaAbs","TWC_Substance08 Rt(min)","TWC_Substance08 AreaAbs","T2-EIC(+)[M+H]_Substance06 Rt(min)","T2-EIC(+)[M+H]_Substance06 AreaAbs","TWC_hydrodeamination product  Rt(min)","TWC_hydrodeamination product  AreaAbs","T2-EIC(+)[M+H]_hydrodeamination product  Rt(min)","T2-EIC(+)[M+H]_hydrodeamination product  AreaAbs","T3-EIC(+)[M+H]_Substance02 Rt(min)","T3-EIC(+)[M+H]_Substance02 AreaAbs","T3-EIC(+)[M+H]_Substance03 Rt(min)","T3-EIC(+)[M+H]_Substance03 AreaAbs","T3-EIC(+)[M+H]_caffeine Rt(min)","T3-EIC(+)[M+H]_caffeine AreaAbs","TWC_Substance09 Rt(min)","TWC_Substance09 AreaAbs","T2-EIC(+)[M+H]_Substance08 Rt(min)","T2-EIC(+)[M+H]_Substance08 AreaAbs","T2-EIC(+)[M+H]_Substance07 Rt(min)","T2-EIC(+)[M+H]_Substance07 AreaAbs","T3-EIC(+)[M+H]_Substance06 Rt(min)","T3-EIC(+)[M+H]_Substance06 AreaAbs","T3-EIC(+)[M+H]_Substance04 Rt(min)","T3-EIC(+)[M+H]_Substance04 AreaAbs","T1-EIC(+)[M+H]_Substance02 Rt(min)","T1-EIC(+)[M+H]_Substance02 AreaAbs","T2-EIC(+)[M+H]_Substance05 Rt(min)","T2-EIC(+)[M+H]_Substance05 AreaAbs","T2-EIC(+)[M+H]_Substance04 Rt(min)","T2-EIC(+)[M+H]_Substance04 AreaAbs","T3-EIC(+)[M+H]_Substance05 Rt(min)","T3-EIC(+)[M+H]_Substance05 AreaAbs","TWC_Substance10 Rt(min)","TWC_Substance10 AreaAbs","TWC_Substance11 Rt(min)","TWC_Substance11 AreaAbs"
"E4","E4.raw","1/11/2021 8:23:36 AM","53","","YS0500304","","Yuning",0.282,33555.77230,0.380,5840.16931,0.347,31077.50354,0.423,42095.37243,0.490,4999.63340,0.526,5549.45382,0.586,9119.23610,0.350,43476.05041,0.425,107036.33210,0.824,3229.40386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"F4","F4.raw","1/11/2021 8:25:24 AM","54","","YS0500304","","Yuning",0.282,40341.92614,0.380,7652.46195,0.347,27042.39385,0.423,42757.29030,0.491,5458.22221,0.521,4340.39370,0.557,6115.84426,0.350,28811.49208,0.427,101362.22264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G4","G4.raw","1/11/2021 8:27:12 AM","55","","YS0500304","","Yuning",0.281,33723.19153,0.380,3407.55678,0.348,26166.86382,0.422,23631.50429,0.491,6039.40590,0.525,3176.87351,0.549,4857.85971,0.350,24174.02267,0.425,45021.85610,0.565,4788.45415,0.862,9978.90612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H4","H4.raw","1/11/2021 8:29:00 AM","56","","YS0500304","","Yuning",0.282,35054.68763,0.380,4235.26531,0.349,25597.40304,0.422,15072.38271,0.532,10975.39307,0.557,4403.44499,0.863,7632.58056,0.352,30095.23635,0.427,26655.22961,0,0,0,0,0,0,0,0,0.493,14925.02798,0.496,55936.67198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I4","I4.raw","1/11/2021 8:30:48 AM","57","","YS0500304","","Yuning",0.281,115932.42464,0.381,29391.71336,0.346,63117.69837,0.422,63196.84607,0.491,98044.88553,0.551,9241.11966,0,0,0.350,104469.61878,0.427,162535.44062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"J4","J4.raw","1/11/2021 8:32:36 AM","58","","YS0500304","","Yuning",0.281,96414.39640,0.386,78200.37225,0.346,117123.21266,0.422,291627.19863,0.491,47259.28806,0.527,16099.23164,0.544,8407.07485,0.350,193917.66875,0.427,615138.50358,0.582,12430.41069,0.880,10540.50628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K4","K4.raw","1/11/2021 8:34:24 AM","59","","YS0500304","","Yuning",0.280,118553.57606,0.329,26878.22011,0.346,127184.70205,0.422,301168.09114,0.380,87430.92059,0.471,10971.25964,0.491,26715.70169,0.350,212661.83822,0.425,617590.44099,0.527,11882.71714,0.554,17679.75937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L4","L4.raw","1/11/2021 8:36:12 AM","60","","YS0500304","","Yuning",0.282,54562.86126,0.378,66216.61183,0.346,127212.32008,0.422,316774.00617,0.398,48126.26528,0.524,20039.40612,0.566,10691.87047,0.350,224098.98063,0.427,633099.68098,0,0,0,0,0,0,0,0,0.491,18189.61667,0.493,9931.06374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M4","M4.raw","1/11/2021 8:38:00 AM","61","","YS0500304","","Yuning",0.283,54282.90892,0.329,9381.82844,0.346,144625.34451,0.422,431815.03477,0.379,90639.03049,0.526,9177.88871,0,0,0.350,244334.75375,0.425,793938.71172,0,0,0,0,0,0,0,0,0.491,14353.89099,0.493,3929.62289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N4","N4.raw","1/11/2021 8:39:48 AM","62","","YS0500304","","Yuning",0.282,62146.04469,0.329,172596.69649,0.347,165060.00037,0.422,239312.23560,0.377,89769.53487,0.473,14518.70261,0,0,0.350,257722.75311,0.427,469659.80433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O4","O4.raw","1/11/2021 8:41:36 AM","63","","YS0500304","","Yuning",0.283,46789.17376,0.327,18128.73957,0.345,94419.37772,0.422,213081.17587,0.378,32925.62667,0.525,27441.05804,0.563,5840.46657,0.350,158750.87365,0.425,441540.69714,0.583,7150.68664,0.616,4997.70256,0.861,7328.70539,0,0,0.489,36669.41314,0.493,3285.02152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P4","P4.raw","1/11/2021 8:43:24 AM","64","","YS0500304","","Yuning",0.284,53664.96509,0.328,26215.50326,0.347,151044.43697,0.423,387341.32389,0.379,61040.63811,0.492,40878.21941,0.527,34295.76728,0.352,236983.67324,0.427,726220.37932,0.549,10716.51431,0.567,30181.75186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A5","A5.raw","1/11/2021 8:45:12 AM","65","","YS0500304","","Yuning",0.282,62086.61191,0.321,11852.43170,0.347,78754.28224,0.422,214891.95106,0.378,38201.61570,0.491,9604.53850,0.563,7101.53115,0.350,153146.57758,0.425,446280.30560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B5","B5.raw","1/11/2021 8:47:00 AM","66","","YS0500304","","Yuning",0.284,51672.33047,0.299,42623.54509,0.346,77590.14384,0.421,33096.63267,0.327,45140.82018,0.377,64107.99633,0.533,4219.10867,0.350,124374.34959,0.425,71701.20523,0.863,9192.02706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C5","C5.raw","1/11/2021 8:48:48 AM","67","","YS0500304","","Yuning",0.283,51175.54184,0.376,126286.57213,0.346,49837.82489,0.422,30269.40471,0.541,80487.91756,0.859,8834.37602,0,0,0.350,93224.93179,0.427,65513.66166,0,0,0,0,0,0,0,0,0,0,0,0,0.381,7498.26663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D5","D5.raw","1/11/2021 8:50:36 AM","68","","YS0500304","","Yuning",0.283,39318.16395,0.298,15964.16134,0.347,82710.53572,0,0,0.378,28808.50075,0.417,4371.04931,0.486,3421.60900,0.350,94298.73354,0,0,0.561,3294.92861,0.868,12104.18050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E5","E5.raw","1/11/2021 8:52:24 AM","69","","YS0500304","","Yuning",0.283,42022.59390,0.377,63626.99938,0.348,37913.40410,0.423,15367.94280,0.484,4412.94471,0.512,3261.46532,0.530,7294.80786,0.350,59386.61222,0.427,27849.10482,0.587,15094.13211,0.685,6576.17582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666,4737.09610,0.589,4751.13469,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"F5","F5.raw","1/11/2021 8:54:12 AM","70","","YS0500304","","Yuning",0,0,0,0,0.348,26960.93913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G5","G5.raw","1/11/2021 8:56:00 AM","71","","YS0500304","","Yuning",0.281,33910.93533,0.298,26570.49544,0.348,68245.17348,0.425,18152.92101,0.377,46145.69477,0.482,4693.55015,0.497,7555.95684,0.350,91507.89306,0.425,6438.75714,0.535,3299.34371,0.864,4665.58286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H5","H5.raw","1/11/2021 8:57:48 AM","72","","YS0500304","","Yuning",0.281,34281.23724,0.377,16744.47143,0.347,24095.82827,0.421,6926.61747,0.529,5416.04639,0.557,4007.85606,0,0,0.350,31933.26880,0.427,6493.57637,0,0,0,0,0,0,0,0,0.490,11035.13466,0.493,54927.25369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I5","I5.raw","1/11/2021 8:59:36 AM","73","","YS0500304","","Yuning",0.281,53488.13652,0.380,15465.59840,0.346,44804.56662,0.422,36816.29262,0.454,3604.93392,0.491,20242.00379,0.533,5133.15714,0.350,66621.82496,0.427,92657.47902,0.558,4199.65575,0.845,3628.45828,0.869,5775.12926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"J5","J5.raw","1/11/2021 9:01:24 AM","74","","YS0500304","","Yuning",0.282,39179.49567,0.380,16113.69995,0.347,30065.83467,0.423,40168.09974,0.404,7236.70400,0.486,5197.46691,0.535,5366.88178,0.350,44376.06719,0.427,92691.64807,0.559,4032.73354,0.855,5556.66613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K5","K5.raw","1/11/2021 9:03:12 AM","75","","YS0500304","","Yuning",0.282,60076.05483,0.378,111570.30413,0.347,68833.45397,0.424,50262.71786,0.481,15843.37833,0.535,18581.80300,0.846,3464.72981,0.350,116474.98883,0.427,80492.25414,0,0,0,0,0,0,0,0,0,0,0,0,0.383,4860.77381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L5","L5.raw","1/11/2021 9:05:00 AM","76","","YS0500304","","Yuning",0.282,51273.40536,0.376,144849.12935,0.347,60249.52951,0.415,39726.45629,0.400,24700.38085,0.484,3711.51023,0.533,3969.48022,0.350,114465.50621,0.427,17150.64620,0.625,5458.44684,0,0,0,0,0,0,0,0,0,0,0.381,9831.85231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M5","M5.raw","1/11/2021 9:06:48 AM","77","","YS0500304","","Yuning",0.282,45411.73089,0.377,96313.04325,0.346,56381.49190,0.423,56932.03849,0.476,9194.80015,0.534,6516.60389,0.849,3751.61219,0.350,103823.61625,0.427,120799.83185,0.869,4668.88596,0.915,3101.03358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N5","N5.raw","1/11/2021 9:08:36 AM","78","","YS0500304","","Yuning",0.281,41669.32733,0.299,61300.14575,0.346,124259.34013,0.421,42216.59641,0.329,16995.38813,0.376,134171.80185,0.482,13947.41724,0.350,193135.27534,0.425,79368.10434,0.535,7852.24261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.379,9963.60653,0,0,0,0,0,0,0,0,0,0,0,0
"O5","O5.raw","1/11/2021 9:10:24 AM","79","","YS0500304","","Yuning",0.283,65033.98011,0.376,307405.24578,0.346,101402.88768,0.420,37819.04741,0.478,20220.71043,0,0,0,0,0.350,197823.70828,0.427,49526.27426,0,0,0,0,0,0,0,0,0,0,0,0,0.381,16586.73099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P5","P5.raw","1/11/2021 9:12:12 AM","80","","YS0500304","","Yuning",0.282,70178.81447,0.376,263711.08577,0.346,126187.11016,0.422,99818.60114,0.475,29148.53885,0.511,6658.32951,0.534,14111.42170,0.350,220693.81310,0.427,204796.75717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A6","A6.raw","1/11/2021 9:13:59 AM","81","","YS0500304","","Yuning",0.282,51182.49935,0.378,52516.50154,0.347,117516.05229,0.422,320883.78144,0.470,14768.83243,0.526,10373.23881,0.540,14275.03010,0.350,197106.70754,0.425,608396.94454,0.563,6097.23779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B6","B6.raw","1/11/2021 9:15:48 AM","82","","YS0500304","","Yuning",0.283,53914.10556,0.329,39285.57870,0.347,70480.27793,0.422,40731.32316,0.370,61508.89465,0.534,7839.10212,0.861,8727.90686,0.350,98083.29054,0.427,100892.18552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C6","C6.raw","1/11/2021 9:17:35 AM","83","","YS0500304","","Yuning",0.283,51934.43286,0.379,23316.84503,0.347,66120.19488,0.423,192781.43596,0.397,49537.33957,0.518,16918.02435,0.543,34788.08832,0.350,123374.59940,0.425,441980.88706,0.664,4890.72224,0.735,22920.43980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D6","D6.raw","1/11/2021 9:19:23 AM","84","","YS0500304","","Yuning",0.284,38982.90854,0.381,8949.76602,0.349,35446.10910,0,0,0.412,10833.66026,0.468,31200.34830,0.497,3797.60502,0.350,46780.72375,0,0,0.515,3831.07382,0.671,3127.06973,0.860,9255.81777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666,4730.60922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E6","E6.raw","1/11/2021 9:21:11 AM","85","","YS0500304","","Yuning",0.284,40693.59974,0.378,15970.08681,0.347,47927.31144,0.423,59336.22863,0.488,3388.69668,0.517,16176.68479,0.557,10668.83434,0.350,82233.56148,0.427,149287.94055,0.587,6514.14463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"F6","F6.raw","1/11/2021 9:22:59 AM","86","","YS0500304","","Yuning",0.281,41766.86910,0.374,28329.06777,0.347,38266.68304,0.424,72223.08089,0.487,8855.75276,0.516,3009.93416,0.532,8737.08878,0.350,58258.77772,0.427,161851.46713,0.555,5680.33375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G6","G6.raw","1/11/2021 9:24:46 AM","87","","YS0500304","","Yuning",0.283,35040.30197,0.370,14978.01868,0.350,24930.55024,0.425,17539.30851,0.533,4399.20172,0.558,4625.44067,0,0,0.350,23146.50737,0.427,35021.74213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H6","H6.raw","1/11/2021 9:26:34 AM","88","","YS0500304","","Yuning",0.281,33606.98934,0.531,3747.00547,0.348,21881.51403,0.422,15207.82154,0.559,4315.08537,0.861,8153.50836,0,0,0.350,18450.42872,0.427,24025.32608,0,0,0,0,0,0,0,0,0.491,5792.67094,0.493,26682.05048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I6","I6.raw","1/11/2021 9:28:22 AM","89","","YS0500304","","Yuning",0.284,39437.90378,0.330,3130.20144,0.348,25619.54906,0.423,23020.05183,0.370,3919.65797,0.380,5976.41469,0.492,6445.19371,0.350,26863.36305,0.427,58087.32518,0.533,6483.83238,0.559,3540.27408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"J6","J6.raw","1/11/2021 9:30:10 AM","90","","YS0500304","","Yuning",0.281,37495.55651,0.380,11783.65822,0.346,44138.14051,0.422,89918.47493,0.486,3203.64372,0.512,4607.29241,0.534,3823.13435,0.350,67306.62628,0.427,211818.21835,0.559,3311.75671,0.865,6195.47586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K6","K6.raw","1/11/2021 9:31:58 AM","91","","YS0500304","","Yuning",0.283,36612.23760,0.374,18222.01205,0.348,30087.59899,0.424,49356.79825,0.489,7486.15047,0.533,6386.16426,0.556,5510.31124,0.350,42141.36985,0.427,112481.41706,0.855,4971.57684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L6","L6.raw","1/11/2021 9:33:46 AM","92","","YS0500304","","Yuning",0.282,35755.54997,0.377,21423.94207,0.347,57039.67752,0.418,25678.82490,0.399,102158.50468,0.514,7575.39287,0.846,3469.52405,0.350,68890.02370,0.427,41372.44618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M6","M6.raw","1/11/2021 9:35:34 AM","93","","YS0500304","","Yuning",0.283,39041.25334,0.379,11536.28033,0.347,34711.73747,0.422,68222.34886,0.485,3858.92628,0.521,8473.42131,0.560,3743.12231,0.350,47757.13160,0.425,164853.27954,0.673,3010.84784,0.865,4145.58050,0.909,4961.38309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N6","N6.raw","1/11/2021 9:37:22 AM","94","","YS0500304","","Yuning",0.282,37370.52304,0.328,101097.65999,0.347,129517.67422,0.423,213776.08172,0.377,46462.59513,0.488,9614.23204,0,0,0.350,196869.54216,0.425,448304.83143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O6","O6.raw","1/11/2021 9:39:10 AM","95","","YS0500304","","Yuning",0.284,48216.21656,0.378,31211.90962,0.347,103079.12506,0.423,263114.74601,0.399,6011.13657,0.472,7601.52408,0.519,19597.77287,0.350,182998.47619,0.427,524287.46027,0,0,0,0,0,0,0,0,0.488,16180.94109,0.493,4060.63760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P6","P6.raw","1/11/2021 9:40:57 AM","96","","YS0500304","","Yuning",0.284,54168.45064,0.378,64768.95307,0.347,145917.69088,0.423,417501.55310,0.493,61974.87821,0,0,0,0,0.350,244694.40328,0.425,800597.87334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A7","A7.raw","1/11/2021 9:42:44 AM","97","","YS0500304","","Yuning",0.282,43026.80183,0.329,13596.63789,0.347,56722.98983,0.423,83787.64921,0.460,11440.88092,0.491,57183.60271,0.548,4064.16868,0.350,73461.61549,0.427,197388.04016,0.566,18938.01877,0.833,3474.03111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B7","B7.raw","1/11/2021 9:44:31 AM","98","","YS0500304","","Yuning",0.281,109392.26332,0.328,56726.17197,0.347,95384.35080,0.422,159823.08434,0.460,39056.97032,0.489,7947.47871,0.876,7182.02533,0.350,146893.80174,0.427,322920.48480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C7","C7.raw","1/11/2021 9:46:19 AM","99","","YS0500304","","Yuning",0.284,132515.39463,0.329,132945.32631,0.346,63262.56366,0.422,515420.48033,0.369,12667.50400,0.396,53537.16894,0.460,58471.74246,0.350,104641.60167,0.427,726585.16835,0.543,93995.77166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D7","D7.raw","1/11/2021 9:48:07 AM","100","","YS0500304","","Yuning",0.282,39911.24656,0.329,26397.31027,0.348,93701.99447,0.424,30151.01809,0.369,15076.75215,0.461,35339.00102,0.491,3869.46246,0.350,102923.35815,0.425,53385.17717,0.549,6326.37475,0.840,3588.61359,0,0,0,0,0,0,0,0,0,0,0.375,11149.85781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E7","E7.raw","1/11/2021 9:49:55 AM","101","","YS0500304","","Yuning",0.283,62676.49955,0.329,9554.19151,0.348,80221.79298,0.425,105535.93092,0.463,75224.99033,0.491,8926.76820,0.551,14864.25840,0.350,80417.77914,0.427,96037.40519,0.587,6611.50359,0.850,3851.51057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"F7","F7.raw","1/11/2021 9:51:43 AM","102","","YS0500304","","Yuning",0.284,59247.20004,0.328,6120.15600,0.347,46092.91648,0.423,131774.73488,0.460,24149.25288,0.489,4893.15770,0.556,36379.37313,0.350,55121.35040,0.427,256394.52027,0.861,6867.07569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.329,3250.72617,0,0,0,0,0,0,0,0,0,0
"G7","G7.raw","1/11/2021 9:53:31 AM","103","","YS0500304","","Yuning",0.282,73380.44969,0.328,42313.85096,0.347,77885.88746,0.423,200369.29324,0.461,19096.36510,0.550,25210.12382,0.566,16735.64163,0.350,91239.78864,0.425,340414.58975,0,0,0,0,0,0,0,0,0.491,14654.47563,0.493,4895.79024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H7","H7.raw","1/11/2021 9:55:18 AM","104","","YS0500304","","Yuning",0.283,47970.67121,0.329,7330.70580,0.350,80933.11154,0.423,104627.91393,0.369,14540.65245,0.386,4570.66424,0.460,26594.92287,0.350,60655.17348,0.427,188320.17333,0.550,14571.23855,0.566,7268.65780,0.851,7238.11952,0,0,0.492,16613.81947,0.496,101416.40554,0,0,0,0,0,0,0.898,4103.61344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I7","I7.raw","1/11/2021 9:57:06 AM","105","","YS0500304","","Yuning",0.277,167286.03499,0.329,45679.97489,0.346,87240.01708,0.421,55615.36764,0.388,61289.25294,0.459,31974.92696,0.491,54039.37455,0.350,128032.05531,0.425,83256.40082,0.551,9452.17352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"J7","J7.raw","1/11/2021 9:58:53 AM","106","","YS0500304","","Yuning",0.281,85706.50639,0.329,11355.53883,0.347,77862.84581,0.422,173258.69897,0.459,27488.84609,0.490,11321.09586,0.549,17931.76198,0.350,113691.29036,0.425,362965.58721,0.567,27807.07296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K7","K7.raw","1/11/2021 10:00:41 AM","107","","YS0500304","","Yuning",0.284,77702.45943,0.329,73248.99374,0.347,69880.26997,0.421,309277.33403,0.370,72589.48847,0.460,49418.35433,0.492,7765.58108,0.352,114924.99745,0.427,356027.48844,0.555,22320.37972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L7","L7.raw","1/11/2021 10:02:29 AM","108","","YS0500304","","Yuning",0,0,0,0,0.354,287251.73799,0.418,196879.69027,0,0,0,0,0,0,0.350,121394.39373,0.427,127263.83922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M7","M7.raw","1/11/2021 10:04:16 AM","109","","YS0500304","","Yuning",0.283,56053.10939,0.389,10484.42264,0.347,114997.70255,0.423,319820.04312,0.459,47632.99329,0.850,5833.00961,0,0,0.350,191294.75671,0.427,642874.79350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N7","N7.raw","1/11/2021 10:06:03 AM","110","","YS0500304","","Yuning",0.282,59522.05687,0.328,102902.31961,0.346,126596.74993,0.423,198361.18819,0.459,46787.97473,0,0,0,0,0.350,184662.40060,0.427,408318.48499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
